"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2021","0.1774","0.1753","0.1783","0.1695","21.84K","1.21%"
"Aug 08, 2021","0.1753","0.1860","0.1864","0.1722","9.48K","-5.73%"
"Aug 07, 2021","0.1860","0.1756","0.1860","0.1756","13.38K","5.87%"
"Aug 06, 2021","0.1756","0.1709","0.1756","0.1684","23.92K","2.78%"
"Aug 05, 2021","0.1709","0.1694","0.1709","0.1634","8.85K","0.87%"
"Aug 04, 2021","0.1694","0.1542","0.1694","0.1516","22.97K","9.86%"
"Aug 03, 2021","0.1542","0.1539","0.1715","0.1520","143.59K","0.22%"
"Aug 02, 2021","0.1539","0.1520","0.1550","0.1434","46.76K","1.26%"
"Aug 01, 2021","0.1520","0.1543","0.1860","0.1501","49.00K","-1.50%"
"Jul 31, 2021","0.1543","0.1543","0.1581","0.1461","35.32K","0.00%"
"Jul 30, 2021","0.1543","0.1511","0.1563","0.1321","70.20K","2.07%"
"Jul 29, 2021","0.1511","0.1488","0.1524","0.1462","21.69K","1.60%"
"Jul 28, 2021","0.1488","0.1582","0.1596","0.1404","74.15K","-6.00%"
"Jul 27, 2021","0.1582","0.1389","0.1967","0.1389","155.98K","13.92%"
"Jul 26, 2021","0.1389","0.1354","0.1417","0.1354","9.99K","2.60%"
"Jul 25, 2021","0.1354","0.1317","0.1368","0.1303","22.70K","2.70%"
"Jul 24, 2021","0.1318","0.1286","0.1331","0.1286","18.93K","2.54%"
"Jul 23, 2021","0.1286","0.1189","0.1286","0.1189","33.18K","8.08%"
"Jul 22, 2021","0.1189","0.1164","0.1310","0.1106","128.02K","2.19%"
"Jul 21, 2021","0.1164","0.1047","0.1178","0.1047","24.19K","11.16%"
"Jul 20, 2021","0.1047","0.1135","0.1135","0.0987","46.94K","-7.73%"
"Jul 19, 2021","0.1135","0.1238","0.1238","0.1101","15.92K","-8.37%"
"Jul 18, 2021","0.1238","0.1229","0.1260","0.1220","8.52K","0.76%"
"Jul 17, 2021","0.1229","0.1248","0.1248","0.1203","8.79K","-1.49%"
"Jul 16, 2021","0.1248","0.1280","0.1286","0.1211","10.44K","-2.49%"
"Jul 15, 2021","0.1280","0.1338","0.1368","0.1261","63.41K","-4.33%"
"Jul 14, 2021","0.1338","0.1263","0.1338","0.1159","66.58K","5.88%"
"Jul 13, 2021","0.1263","0.1272","0.1292","0.1255","44.61K","-0.71%"
"Jul 12, 2021","0.1272","0.1300","0.1300","0.1236","12.04K","-2.15%"
"Jul 11, 2021","0.1300","0.1280","0.1300","0.1261","4.29K","1.57%"
"Jul 10, 2021","0.1280","0.1294","0.1295","0.1276","5.68K","-1.08%"
"Jul 09, 2021","0.1294","0.1269","0.1294","0.1200","34.38K","1.98%"
"Jul 08, 2021","0.1269","0.1386","0.1458","0.1258","54.47K","-8.41%"
"Jul 07, 2021","0.1386","0.1315","0.1428","0.1315","109.44K","5.37%"
"Jul 06, 2021","0.1315","0.1346","0.1347","0.1309","28.26K","-2.33%"
"Jul 05, 2021","0.1346","0.1259","0.1425","0.1257","224.38K","6.96%"
"Jul 04, 2021","0.1259","0.0955","0.1259","0.0825","140.02K","31.77%"
"Jul 03, 2021","0.0955","0.0999","0.0999","0.0948","6.75K","-4.38%"
"Jul 02, 2021","0.0999","0.0884","0.1036","0.0872","75.08K","13.03%"
"Jul 01, 2021","0.0884","0.0868","0.0962","0.0833","47.82K","1.86%"
"Jun 30, 2021","0.0868","0.0918","0.1085","0.0848","7.28K","-5.49%"
"Jun 29, 2021","0.0918","0.0800","0.0947","0.0800","48.73K","14.76%"
"Jun 28, 2021","0.0800","0.0930","0.0954","0.0800","9.05K","-13.98%"
"Jun 27, 2021","0.0930","0.0915","0.0960","0.0800","18.48K","1.64%"
"Jun 26, 2021","0.0915","0.0920","0.0939","0.0881","12.86K","-0.53%"
"Jun 25, 2021","0.0920","0.0959","0.0962","0.0917","52.51K","-4.08%"
