"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2019","0.0582","0.0594","0.0594","0.0573","233.53K","-2.02%"
"Jun 11, 2019","0.0594","0.0600","0.0602","0.0568","360.61K","-1.00%"
"Jun 10, 2019","0.0600","0.0584","0.0608","0.0557","394.45K","2.74%"
"Jun 09, 2019","0.0584","0.0585","0.0637","0.0561","1.28M","-0.17%"
"Jun 08, 2019","0.0585","0.0580","0.0603","0.0574","264.64K","0.86%"
"Jun 07, 2019","0.0580","0.0561","0.0600","0.0558","250.24K","3.39%"
"Jun 06, 2019","0.0561","0.0533","0.0589","0.0521","565.92K","5.25%"
"Jun 05, 2019","0.0533","0.0516","0.0549","0.0503","1.29M","3.29%"
"Jun 04, 2019","0.0516","0.0544","0.0560","0.0503","961.14K","-5.15%"
"Jun 03, 2019","0.0544","0.0609","0.0613","0.0544","371.99K","-10.67%"
"Jun 02, 2019","0.0609","0.0591","0.0620","0.0590","421.40K","3.05%"
"Jun 01, 2019","0.0591","0.0602","0.0610","0.0579","789.26K","-1.83%"
"May 31, 2019","0.0602","0.0566","0.0626","0.0550","666.24K","6.36%"
"May 30, 2019","0.0566","0.0629","0.0636","0.0565","686.14K","-10.02%"
"May 29, 2019","0.0629","0.0615","0.0697","0.0588","69.65K","2.28%"
"May 28, 2019","0.0615","0.0602","0.0625","0.0590","985.73K","2.16%"
"May 27, 2019","0.0602","0.0593","0.0621","0.0590","1.05M","1.52%"
"May 26, 2019","0.0593","0.0593","0.0647","0.0571","254.77K","0.00%"
"May 25, 2019","0.0593","0.0594","0.0616","0.0582","481.14K","-0.17%"
"May 24, 2019","0.0594","0.0619","0.0680","0.0587","2.11M","-4.04%"
"May 23, 2019","0.0619","0.0557","0.0645","0.0533","1.10M","11.13%"
"May 22, 2019","0.0557","0.0572","0.0610","0.0540","880.54K","-2.62%"
"May 21, 2019","0.0572","0.0538","0.0592","0.0533","814.35K","6.32%"
"May 20, 2019","0.0538","0.0555","0.0556","0.0522","437.26K","-3.06%"
"May 19, 2019","0.0555","0.0549","0.0572","0.0541","327.31K","1.09%"
"May 18, 2019","0.0549","0.0538","0.0575","0.0534","608.42K","2.04%"
"May 17, 2019","0.0538","0.0579","0.0579","0.0481","861.54K","-7.08%"
"May 16, 2019","0.0579","0.0568","0.0610","0.0522","1.55M","1.94%"
"May 15, 2019","0.0568","0.0514","0.0581","0.0504","1.76M","10.51%"
"May 14, 2019","0.0514","0.0465","0.0515","0.0465","635.26K","10.54%"
"May 13, 2019","0.0465","0.0462","0.0543","0.0460","759.23K","0.65%"
"May 12, 2019","0.0462","0.0502","0.0521","0.0455","657.31K","-7.97%"
"May 11, 2019","0.0502","0.0465","0.0514","0.0460","547.02K","7.96%"
"May 10, 2019","0.0465","0.0447","0.0477","0.0430","553.96K","4.03%"
"May 09, 2019","0.0447","0.0486","0.0486","0.0439","602.63K","-8.02%"
"May 08, 2019","0.0486","0.0486","0.0494","0.0472","260.90K","0.00%"
"May 07, 2019","0.0486","0.0511","0.0520","0.0486","431.63K","-4.89%"
"May 06, 2019","0.0511","0.0501","0.0520","0.0482","365.60K","2.00%"
"May 05, 2019","0.0501","0.0484","0.0514","0.0484","196.32K","3.51%"
